game_datetime,team_home,team_away,odds_home,odds_away,outcome
2015-11-01 07:30:00,New Orleans Pelicans,Golden State Warriors,2.95,1.43,AWAY
2015-11-01 08:00:00,Memphis Grizzlies,Brooklyn Nets,1.09,8.47,HOME
2015-11-01 10:00:00,Portland Trail Blazers,Phoenix Suns,1.77,2.11,AWAY
2015-11-01 10:30:00,Los Angeles Clippers,Sacramento Kings,1.16,5.77,HOME
2015-11-02 03:00:00,Charlotte Hornets,Atlanta Hawks,2.15,1.75,AWAY
2015-11-02 04:30:00,Boston Celtics,San Antonio Spurs,3.12,1.4,AWAY
2015-11-02 07:00:00,Toronto Raptors,Milwaukee Bucks,1.4,3.08,HOME
2015-11-02 07:00:00,Miami Heat,Houston Rockets,1.57,2.51,HOME
2015-11-02 08:00:00,Oklahoma City Thunder,Denver Nuggets,1.08,8.93,HOME
2015-11-02 08:00:00,Chicago Bulls,Orlando Magic,1.26,4.05,HOME
2015-11-02 10:30:00,Los Angeles Lakers,Dallas Mavericks,2.58,1.54,AWAY
2015-11-03 08:00:00,Philadelphia 76ers,Cleveland Cavaliers,9.19,1.08,AWAY
2015-11-03 08:30:00,New York Knicks,San Antonio Spurs,3.7,1.3,AWAY
2015-11-03 08:30:00,Brooklyn Nets,Milwaukee Bucks,2.0,1.85,AWAY
2015-11-03 09:00:00,Minnesota Timberwolves,Portland Trail Blazers,1.55,2.56,AWAY
2015-11-03 09:00:00,Houston Rockets,Oklahoma City Thunder,2.62,1.53,HOME
2015-11-03 11:30:00,Los Angeles Clippers,Phoenix Suns,1.21,4.65,HOME
2015-11-03 11:30:00,Golden State Warriors,Memphis Grizzlies,1.21,4.75,HOME
2015-11-04 08:00:00,Charlotte Hornets,Chicago Bulls,2.56,1.55,HOME
2015-11-04 08:30:00,Miami Heat,Atlanta Hawks,1.58,2.49,AWAY
2015-11-04 08:30:00,Detroit Pistons,Indiana Pacers,1.53,2.61,AWAY
2015-11-04 09:00:00,New Orleans Pelicans,Orlando Magic,1.48,2.75,AWAY
2015-11-04 09:30:00,Dallas Mavericks,Toronto Raptors,2.13,1.76,AWAY
2015-11-04 11:00:00,Sacramento Kings,Memphis Grizzlies,2.61,1.53,AWAY
2015-11-04 11:30:00,Los Angeles Lakers,Denver Nuggets,1.73,2.19,AWAY
2015-11-05 08:00:00,Washington Wizards,San Antonio Spurs,2.56,1.56,HOME
2015-11-05 08:00:00,Indiana Pacers,Boston Celtics,2.13,1.76,HOME
2015-11-05 09:00:00,Oklahoma City Thunder,Toronto Raptors,1.25,4.13,AWAY
2015-11-05 09:00:00,Milwaukee Bucks,Philadelphia 76ers,1.24,4.27,HOME
2015-11-05 09:00:00,Houston Rockets,Orlando Magic,1.22,4.52,HOME
2015-11-05 09:00:00,Cleveland Cavaliers,New York Knicks,1.15,6.04,HOME
2015-11-05 09:00:00,Atlanta Hawks,Brooklyn Nets,1.32,3.61,HOME
2015-11-05 10:00:00,Utah Jazz,Portland Trail Blazers,1.36,3.32,AWAY
2015-11-05 10:00:00,Phoenix Suns,Sacramento Kings,1.2,4.95,HOME
2015-11-05 11:30:00,Golden State Warriors,Los Angeles Clippers,1.29,3.77,HOME
2015-11-06 09:00:00,Minnesota Timberwolves,Miami Heat,2.59,1.54,AWAY
2015-11-06 09:00:00,Chicago Bulls,Oklahoma City Thunder,1.9,1.95,HOME
2015-11-06 09:30:00,Dallas Mavericks,Charlotte Hornets,1.55,2.56,AWAY
2015-11-06 10:00:00,Denver Nuggets,Utah Jazz,2.27,1.68,AWAY
2015-11-06 11:30:00,Portland Trail Blazers,Memphis Grizzlies,2.59,1.53,HOME
2015-11-07 08:00:00,Orlando Magic,Toronto Raptors,3.03,1.41,HOME
2015-11-07 08:30:00,New York Knicks,Milwaukee Bucks,1.8,2.08,AWAY
2015-11-07 08:30:00,Cleveland Cavaliers,Philadelphia 76ers,1.05,12.08,HOME
2015-11-07 08:30:00,Brooklyn Nets,Los Angeles Lakers,1.65,2.33,AWAY
2015-11-07 08:30:00,Boston Celtics,Washington Wizards,1.84,2.02,HOME
2015-11-07 09:00:00,New Orleans Pelicans,Atlanta Hawks,2.23,1.7,AWAY
2015-11-07 09:00:00,Indiana Pacers,Miami Heat,1.94,1.91,HOME
2015-11-07 10:30:00,Phoenix Suns,Detroit Pistons,1.53,2.63,AWAY
2015-11-07 11:30:00,Sacramento Kings,Houston Rockets,2.65,1.52,AWAY
2015-11-07 11:30:00,Golden State Warriors,Denver Nuggets,1.02,19.86,HOME
2015-11-08 07:00:00,Chicago Bulls,Minnesota Timberwolves,1.2,4.78,AWAY
2015-11-08 08:00:00,Philadelphia 76ers,Orlando Magic,2.35,1.64,AWAY
2015-11-08 08:30:00,Atlanta Hawks,Washington Wizards,1.5,2.73,HOME
2015-11-08 09:30:00,San Antonio Spurs,Charlotte Hornets,1.18,5.18,HOME
2015-11-08 09:30:00,Milwaukee Bucks,Brooklyn Nets,1.37,3.28,HOME
2015-11-08 09:30:00,Dallas Mavericks,New Orleans Pelicans,1.48,2.75,HOME
2015-11-08 10:00:00,Utah Jazz,Memphis Grizzlies,1.71,2.21,HOME
2015-11-08 11:00:00,Sacramento Kings,Golden State Warriors,11.03,1.06,AWAY
2015-11-08 11:30:00,Los Angeles Clippers,Houston Rockets,1.45,2.86,AWAY
2015-11-09 04:30:00,New York Knicks,Los Angeles Lakers,1.43,2.92,HOME
2015-11-09 04:30:00,Cleveland Cavaliers,Indiana Pacers,1.26,4.11,HOME
2015-11-09 07:00:00,Miami Heat,Toronto Raptors,1.7,2.24,HOME
2015-11-09 08:00:00,Oklahoma City Thunder,Phoenix Suns,1.23,4.4,HOME
2015-11-09 10:00:00,Portland Trail Blazers,Detroit Pistons,1.79,2.09,AWAY
2015-11-10 08:00:00,Philadelphia 76ers,Chicago Bulls,5.88,1.15,AWAY
2015-11-10 08:00:00,Indiana Pacers,Orlando Magic,1.53,2.64,HOME
2015-11-10 09:00:00,Atlanta Hawks,Minnesota Timberwolves,1.24,4.29,AWAY
2015-11-10 10:00:00,Denver Nuggets,Portland Trail Blazers,2.0,1.86,HOME
2015-11-10 11:00:00,Sacramento Kings,San Antonio Spurs,3.75,1.3,AWAY
2015-11-10 11:30:00,Los Angeles Clippers,Memphis Grizzlies,1.31,3.6,HOME
2015-11-10 11:30:00,Golden State Warriors,Detroit Pistons,1.08,8.84,HOME
2015-11-11 08:00:00,Washington Wizards,Oklahoma City Thunder,3.43,1.34,AWAY
2015-11-11 08:00:00,Cleveland Cavaliers,Utah Jazz,1.41,3.05,HOME
2015-11-11 08:30:00,Toronto Raptors,New York Knicks,1.29,3.81,AWAY
2015-11-11 08:30:00,Miami Heat,Los Angeles Lakers,1.12,6.76,HOME
2015-11-11 09:00:00,New Orleans Pelicans,Dallas Mavericks,1.72,2.2,HOME
2015-11-11 09:00:00,Minnesota Timberwolves,Charlotte Hornets,2.46,1.59,AWAY
2015-11-11 09:00:00,Milwaukee Bucks,Boston Celtics,2.15,1.75,AWAY
